cluster_id,lat,lon,building_count
1,26.857182,80.908596,110622
2,26.807414,80.905221,29320
3,26.884839,80.925309,28195
4,26.876709,80.979208,17092
5,26.886588,81.003024,8376
6,26.892366,80.962913,3341
7,26.833031,80.897454,2900
8,26.897647,80.974055,2656
9,26.887707,80.952467,2465
10,26.841108,80.90024,1986
11,26.796374,80.925309,1971
12,26.857884,80.990071,1856
13,26.828061,80.944111,1795
14,26.829925,80.887705,1692
15,26.869067,80.952467,1683
16,26.89889,80.956646,1558
17,26.8467,80.996338,1046
18,26.883979,80.962913,1014
19,26.865339,80.921131,971
20,26.8467,80.950378,930
21,26.854156,81.004695,922
22,26.887707,80.971269,846
23,26.79451,80.90024,829
24,26.880251,80.9462,806
25,26.798238,80.891883,789
26,26.850428,80.987982,784
27,26.857884,81.000517,783
28,26.8467,80.962913,759
29,26.883979,80.942022,752
